camis,dba,boro,building,street,zipcode,phone,cuisine,latitude,longitude,nta_code,community_board,council_district,never_inspected,n_inspections,first_inspection,last_inspection,avg_score,latest_score,latest_grade,total_violations,total_critical,ever_closed
50042487,BURGER KING,Brooklyn,1661,LINDEN BOULEVARD,11212,7182271100,HAMBURGERS,40.65725413218,-73.90060863238,BK81,316,42,false,3,2022-12-09,2025-09-23,9.67,13,A,7,3,false
50042497,LE PETIT PARISIEN,Manhattan,32,EAST 7 STREET,10003,9172620406,FRENCH,40.72830397709,-73.98892345018,MN22,103,2,false,4,2023-09-21,2026-07-28,18.0,9,A,11,6,false
50042501,MIMI,Manhattan,185,SULLIVAN STREET,10012,2124181260,FRENCH,40.72837038368,-74.00077211206,MN23,102,3,false,2,2023-02-08,2024-10-16,23.5,26,N,10,6,false
50042533,DORLAN'S TAVERN,Manhattan,213,FRONT STREET,10038,3476229659,AMERICAN,40.70731249849,-74.00252119243,MN25,101,1,false,4,2023-11-01,2026-01-20,30.5,27,A,25,14,false
50042550,GLOBAL KITCHEN,Manhattan,1290,AVENUE OF THE AMERICAS,10119,2125813200,AMERICAN,40.76085010855,-73.97971672207,MN17,105,4,false,3,2023-03-31,2025-02-18,10.67,10,A,7,3,false
50042551,NEW GREAT WALL,Brooklyn,2932,AVENUE X,11235,7183328257,CHINESE,40.59382504413,-73.94034355782,BK17,315,48,false,3,2024-09-09,2026-04-07,15.67,2,A,9,5,false
50042574,CARIDAD EXPRESS RESTAURANT,Bronx,710,EAST 138 STREET,10454,7184027571,LATIN AMERICAN,40.8049271488,-73.9130370879,BX39,201,8,false,4,2023-12-22,2026-08-04,18.5,29,A,14,8,false
50042621,RAIN II,Manhattan,1095,SAINT NICHOLAS AVENUE,10032,3475834044,THAI,40.83825453891,-73.93988862351,MN36,112,10,false,4,2023-03-06,2026-02-02,9.75,2,A,11,7,false
50042664,MR. PURPLE,Manhattan,180,ORCHARD STREET,10002,2122371790,AMERICAN,40.72184548001,-73.98830401266,MN27,103,1,false,4,2024-09-03,2026-04-14,20.0,12,A,11,8,false
50042671,EDGAR'S CAFE,Manhattan,650,AMSTERDAM AVENUE,10025,2125956261,COFFEE/TEA,40.79127693183,-73.97240150817,MN12,107,6,false,4,2023-09-07,2025-07-16,17.5,25,B,15,8,false
50042695,FRECKLE JUICE,Bronx,3828,DYRE AVENUE,10466,7189942999,"JUICE, SMOOTHIES, FRUIT SALADS",40.8882899297,-73.83128022618,BX03,212,12,false,3,2024-07-12,2026-07-25,6.33,0,A,5,2,false
50042698,LE CAFE COFFEE,Manhattan,145,4 AVENUE,10003,2123889111,COFFEE/TEA,40.73390887525,-73.98987149814,MN22,103,2,false,5,2023-12-12,2026-07-09,12.25,9,A,15,6,false
50042713,TUTI LOUNGE & BAR / ONE ONE FOUR / BALCON ROOFTOP,Manhattan,114,EAST 32 STREET,10016,6466039000,AMERICAN,40.74545779655,-73.98151145534,MN20,105,2,false,5,2023-12-05,2026-04-30,24.0,18,B,21,12,false
50042744,AZTEC SOUL,Brooklyn,3372,ATLANTIC AVENUE,11208,3476631651,MEXICAN,40.68155544571,-73.87197375891,BK83,305,37,false,3,2024-06-26,2026-06-23,16.33,9,A,11,4,false
50042767,DHAKA SWEETS & RESTAURANT,Queens,168-32,HILLSIDE AVENUE,11432,7182629774,BANGLADESHI,40.71040430231,-73.79375017156,QN61,412,27,false,3,2022-09-27,2024-10-22,12.0,10,A,6,5,false
50042768,PAPA JOHN'S,Queens,103-03,101 AVENUE,11416,9172956250,PIZZA,40.68603562367,-73.83978420018,QN54,409,29,false,2,2024-06-28,2026-02-27,5.5,9,A,4,1,false
50042774,SLATE COFFEE + KITCHEN,Manhattan,121,MADISON AVENUE,10016,2126837800,AMERICAN,40.74539787623,-73.98466206448,MN17,105,2,false,5,2023-11-28,2026-04-07,14.2,13,A,13,8,false
50042777,NABAYA AFRICAN AMERICAN RESTUARANT,Bronx,860,MELROSE AVENUE,10451,7184012283,AFRICAN,40.8236004815,-73.91413990403,BX35,203,17,false,8,2024-04-03,2026-07-16,48.4,92,C,36,21,true
50042783,DUNKIN,Queens,166-01,NORTHERN BOULEVARD,11358,5166748200,DONUTS,40.75965685033,-73.80015952841,QN51,407,19,false,4,2023-04-13,2025-11-25,13.25,10,A,12,6,false
50042788,Q Q STAR,Brooklyn,9212,4 AVENUE,11209,7188338078,CHINESE,40.61815814119,-74.0302569692,BK31,310,47,false,3,2022-05-09,2024-07-18,21.33,19,Z,11,9,false
50042802,CHIHUAHUA,Queens,47-02,GREENPOINT AVENUE,11104,3475310954,MEXICAN,40.74254228165,-73.91770558057,QN31,402,26,false,3,2024-10-24,2026-08-07,17.33,13,A,11,5,false
50042812,SAN MATTEO PIZZERIA E CUCINA,Manhattan,1559,2 AVENUE,10028,2128612434,ITALIAN,40.77455830116,-73.95417176394,MN32,108,5,false,5,2024-06-08,2026-06-06,7.4,0,A,9,4,false
50042826,TAQUERIA LUPITA,Bronx,3550,EAST TREMONT AVENUE,10465,3479312157,MEXICAN,40.83011244174,-73.82571169046,BX52,210,13,false,3,2023-05-25,2026-03-11,9.67,11,A,8,3,false
50042840,DUNKIN,Manhattan,105,WEST 125 STREET,10027,6463402833,DONUTS,40.80793909051,-73.94586561702,MN11,110,9,false,5,2022-10-31,2025-09-22,16.8,13,A,14,7,false
50042914,DIONYSOS,Queens,23-15,31 STREET,11105,7189323231,GREEK,40.77395010707,-73.91334487202,QN72,401,22,false,3,2023-04-04,2026-01-12,15.33,22,A,9,6,false
50042927,TACOMBI,Manhattan,255,BLEECKER STREET,10014,6469645984,MEXICAN,40.73109864612,-74.00291538405,MN23,102,3,false,4,2024-10-22,2026-08-06,23.67,35,A,15,9,false
50042946,BAKE SHOP,Brooklyn,995,FLUSHING AVENUE,11206,6463229407,AMERICAN,40.70312354306,-73.93282653547,BK78,301,34,false,6,2023-02-09,2026-01-14,15.4,6,A,13,10,false
50042951,DHANSHIRI,Queens,169-28,HILLSIDE AVENUE,11432,7187250001,BANGLADESHI,40.71081958081,-73.79268119284,QN61,412,27,false,8,2024-06-10,2026-08-06,45.83,98,C,42,26,true
50042980,DELICIAS CUENCANAS RESTAURANT,Queens,172-18,HILLSIDE AVENUE,11432,9176517022,SPANISH,40.71178084046,-73.78998728808,QN61,412,27,false,4,2023-01-12,2025-12-01,14.25,13,A,11,7,false
50042981,TE COMPANY,Manhattan,163,WEST 10 STREET,10014,9293353168,COFFEE/TEA,40.73441708883,-74.00185468109,MN23,102,3,false,2,2023-10-18,2025-08-28,5.5,9,A,4,1,false
50043003,BANGIA,Manhattan,11,EAST 32 STREET,10016,2126796790,KOREAN,40.74683614197,-73.98474113017,MN17,105,4,false,3,2022-06-07,2024-12-26,21.67,20,B,11,9,false
50043021,TEXAS CHICKEN & BURGERS,Queens,255-21,HILLSIDE AVENUE,11004,7187495118,CHICKEN,40.7364202628,-73.71256936267,QN44,413,23,false,3,2023-07-05,2025-08-05,11.0,13,A,7,3,false
50043035,SUBWAY,Queens,80-20,JAMAICA AVENUE,11421,7187150856,SANDWICHES,40.69221775552,-73.86153896154,QN53,409,32,false,3,2024-05-09,2026-06-17,5.67,2,A,5,2,false
50043049,MONTE GRAB & GO MARKET,Bronx,1790,EASTCHESTER ROAD,10461,7186842774,AMERICAN,40.84864789341,-73.8450152689,BX49,211,13,false,3,2022-08-17,2025-05-07,12.33,12,A,8,4,false
50043059,GREENWICH STREET TAVERN,Manhattan,399,GREENWICH STREET,10013,2123347827,AMERICAN,40.72085203149,-74.01003632013,MN24,101,1,false,4,2023-04-19,2025-11-19,29.33,27,B,18,11,false
50043074,ROVE,Queens,72-27,AUSTIN STREET,11375,3472333183,AMERICAN,40.71901974696,-73.84187271058,QN17,406,29,false,2,2024-12-06,2026-08-07,10.0,13,A,5,1,false
50043079,JJ BROWN CUP,Manhattan,1707,2 AVENUE,10128,2123693949,COFFEE/TEA,40.77942053613,-73.95062623183,MN32,108,5,false,4,2023-08-17,2026-05-12,10.25,10,A,10,7,false
50043100,AMY'S BREAD (CAFE AT NEW YORK PUBLIC LIBRARY),Manhattan,476,5 AVENUE,10018,2129772670,COFFEE/TEA,40.75271768018,-73.98145168344,MN17,105,4,false,3,2024-05-16,2026-03-24,7.33,7,A,4,3,false
50043130,RAKU,Manhattan,342,EAST 6 STREET,10003,2122281324,ASIAN/ASIAN FUSION,40.72693693444,-73.98747329347,MN22,103,2,false,3,2023-07-26,2025-09-25,14.67,11,A,10,4,false
50043137,LION'S MILK,Brooklyn,104,ROEBLING STREET,11211,6179226371,TURKISH,40.71582646001,-73.95565162278,BK73,301,33,false,3,2022-11-07,2025-09-22,10.33,12,A,7,3,false
50043143,IHOP,Queens,155-17,NORTHERN BOULEVARD,11354,7183535576,PANCAKES/WAFFLES,40.76429542641,-73.80980581757,QN51,407,19,false,4,2024-03-08,2026-04-30,10.0,9,A,11,4,false
50043178,BOSTON MARKET,Brooklyn,1340,PENNSYLVANIA AVENUE,11239,3475494952,CHICKEN,40.64820082876,-73.88216787395,BK93,305,42,false,4,2022-01-20,2024-12-10,25.5,58,A,18,10,true
50043179,SABA'S PIZZA,Manhattan,403,AMSTERDAM AVENUE,10024,2127871118,JEWISH/KOSHER,40.78334584025,-73.97816433872,MN12,107,6,false,2,2024-10-15,2026-04-14,12.5,13,A,5,2,false
50043183,CHIPOTLE MEXICAN GRILL,Manhattan,805,COLUMBUS AVENUE,10025,2122227389,TEX-MEX,40.79498061457,-73.96595682872,MN12,107,7,false,2,2024-10-01,2026-04-01,3.5,2,A,2,1,false
50043186,AMITY HALL,Manhattan,982,AMSTERDAM AVENUE,10025,6469302501,AMERICAN,40.80202321798,-73.9645625899,MN09,107,7,false,2,2022-05-17,2024-11-21,7.0,2,A,3,1,false
50043205,SURFISH BISTRO,Manhattan,550,3 AVENUE,10016,7187888070,PERUVIAN,40.74731517876,-73.9769707777,MN20,106,4,false,3,2022-01-18,2024-10-03,10.67,11,A,8,4,false
50043207,HARTLEY'S,Brooklyn,14,PUTNAM AVENUE,11238,3477992877,AMERICAN,40.68271558533,-73.96132718476,BK69,302,35,false,3,2023-04-05,2025-07-23,11.0,5,A,7,3,false
50043211,AMERITANIA BAR,Manhattan,230,WEST 54 STREET,10019,2122475000,BOTTLED BEVERAGES,40.764147064,-73.98278416818,MN17,105,3,false,2,2023-06-14,2026-05-02,24.5,37,A,9,4,false
50043213,THE GREEN PLACE AFRICAN CUISINE AND RESTAURANT,Brooklyn,180,ROCKAWAY AVENUE,11233,3477852738,AFRICAN,40.67698930419,-73.91087559237,BK79,316,41,false,4,2023-05-03,2025-10-08,19.67,10,A,10,5,false
50043234,SUPER TACO,Brooklyn,261,KINGS HIGHWAY,11223,6467300578,TEX-MEX,40.6052683047,-73.98099942522,BK29,311,43,false,4,2022-03-09,2025-02-19,11.25,11,A,11,6,false
50043236,VIVI BUBBLE TEA,Brooklyn,5002,5 AVENUE,11220,3475294975,COFFEE/TEA,40.64501113001,-74.01042485409,BK32,307,38,false,4,2023-05-04,2026-04-23,12.75,12,A,12,6,false
50043260,THE DEAD POET,Manhattan,450,AMSTERDAM AVENUE,10024,2125955670,IRISH,40.78485250027,-73.97709135405,MN12,107,6,false,3,2024-04-09,2026-06-11,12.33,12,A,10,5,false
50043303,EMOJI BURGER,Queens,80-07,37 AVENUE,11372,9178326427,HAMBURGERS,40.7495719376,-73.885990434,QN28,403,25,false,4,2024-10-23,2026-08-06,17.33,31,A,10,8,false
50043311,CONEJA JUICE BAR,Bronx,176,EAST 174 STREET,10457,9176875865,"JUICE, SMOOTHIES, FRUIT SALADS",40.84479686922,-73.90896923258,BX41,204,15,false,2,2024-05-02,2025-11-24,9.5,9,A,3,2,false
50043313,DPIKETE SABOR Y MAS,Bronx,1219A,CASTLE HILL AVE,10462,7184848358,"JUICE, SMOOTHIES, FRUIT SALADS",40.83244010593,-73.85117111408,BX59,209,18,false,4,2023-01-17,2025-05-15,7.67,7,A,7,2,false
50043322,THE CRUS-Z FAMILY RESTAURANT,Queens,87-09,ROOSEVELT AVENUE,11372,3473372628,MEXICAN,40.7481431037,-73.87910676681,QN28,403,21,false,3,2023-04-24,2025-01-13,19.0,9,A,10,7,false
50043327,HAND PULL NOODLE & DUMPLING HOUSE,Brooklyn,7201,18 AVENUE,11204,7182326191,CHINESE,40.61503294198,-73.99430187206,BK28,311,43,false,4,2023-05-24,2026-02-03,6.0,9,A,6,2,false
50043384,BURGER KING,Bronx,1607,WESTCHESTER AVENUE,10472,3472973524,HAMBURGERS,40.82932326346,-73.87521511483,BX08,209,17,false,9,2023-05-01,2026-04-21,15.88,13,A,29,15,false
50043385,EMPANADA MAMA,Manhattan,95,ALLEN STREET,10002,2126730300,LATIN AMERICAN,40.7185547248,-73.99072159519,MN27,103,1,false,6,2023-04-25,2025-08-20,21.6,8,A,17,8,false
50043393,TONY'S PIZZERIA,Brooklyn,175,NASSAU AVENUE,11222,7183493330,PIZZA,40.72529734946,-73.94618916338,BK76,301,33,false,3,2024-03-06,2026-07-07,8.67,2,A,5,3,false
50043399,KONEKO,Manhattan,26,CLINTON STREET,10002,6463705699,JAPANESE,40.72056044918,-73.98428900707,MN28,103,2,false,3,2022-09-09,2025-05-14,14.33,7,A,9,4,false
50043413,BENEMON,Manhattan,108,EAST 4 STREET,10003,2126143006,JAPANESE,40.72565795104,-73.98820592894,MN22,103,2,false,2,2024-02-27,2026-05-08,12.5,12,A,6,3,false
50043434,RISE BAR,Manhattan,859,9 AVENUE,10019,9174057905,AMERICAN,40.76710089791,-73.98631408596,MN15,104,3,false,3,2023-08-23,2026-07-16,17.0,13,A,10,5,false
50043445,VICTORY CAFE (ARMORY TRACK),Manhattan,216,FORT WASHINGTON AVENUE,10032,2129231803,AMERICAN,40.84256490973,-73.94209661529,MN36,112,10,false,1,2017-03-10,2017-03-10,8.0,8,A,1,1,false
50043453,RICKY'S HARDEE,Brooklyn,429,MOTHER GASTON BOULEVARD,11212,7184848896,CHINESE,40.66847154589,-73.90653608496,BK81,316,41,false,4,2023-04-24,2025-11-12,21.0,13,A,16,10,false
50043459,OSAKA JAPANESE RESTAURANT,Brooklyn,2805,AVENUE U,11229,7188916200,JAPANESE,40.6002385439,-73.94365077173,BK44,315,46,false,2,2024-06-11,2026-02-05,8.5,7,A,5,2,false
50043494,ASIAN FORTUNE,Queens,103-35,QUEENS BOULEVARD,11375,7188306313,CHINESE,40.72422595834,-73.84957374504,QN17,406,29,false,3,2022-12-21,2025-12-06,12.67,13,A,8,5,false
50043495,SALUD BAR & GRILL,Brooklyn,1413,BUSHWICK AVENUE,11207,9178267480,LATIN AMERICAN,40.68444834032,-73.90926108532,BK78,304,37,false,2,2025-07-29,2025-11-03,12.5,10,A,4,3,false
50043566,ROW HOUSE,Manhattan,2128,FREDERICK DOUGLASS BOULEVARD,,2122560019,AMERICAN,,,,,,false,2,2023-08-16,2025-11-07,27.5,34,B,11,5,false
50043586,DUNKIN,Manhattan,1995,AMSTERDAM AVENUE,10032,6463402983,DONUTS,40.83391306609,-73.9412477161,MN36,112,10,false,3,2023-05-11,2025-11-25,10.67,12,A,9,4,false
50043598,SHAKE SHACK,Queens,90-15,QUEENS BOULEVARD,11373,3472250190,HAMBURGERS,40.73384018201,-73.87157703381,QN29,404,25,false,3,2022-11-29,2025-08-11,10.0,12,A,7,3,false
50043617,THE BAD OLD DAYS,Queens,1684,WOODBINE STREET,11385,3476960612,AMERICAN,40.7008422671,-73.90849213896,QN20,405,34,false,3,2022-10-24,2025-10-04,11.33,11,A,8,4,false
50043628,LA CANTINA HEIGHTS,Manhattan,4460,BROADWAY,10040,6464767488,AMERICAN,40.85687348101,-73.9325332825,MN35,112,10,false,4,2022-10-27,2025-10-16,21.33,11,A,13,7,false
50043671,PADDY'S OF PARK SLOPE,Brooklyn,273,13 STREET,11215,7183690831,AMERICAN,40.66654649749,-73.98783793375,BK37,306,39,false,3,2023-05-22,2026-03-11,8.33,10,A,5,3,false
50043677,CAFFE BENE,Queens,80-27,37 AVENUE,11372,6464271900,BAKERY PRODUCTS/DESSERTS,40.74958552863,-73.88585687184,QN28,403,25,false,6,2022-09-02,2025-08-14,25.6,9,A,27,12,false
50043696,KHALLE BAR AND GRILL,Bronx,3638,BAILEY AVENUE,10463,3473266293,SPANISH,40.88343672217,-73.89858392261,BX28,208,11,false,2,2023-09-28,2023-09-28,12.0,12,A,4,1,false
50043705,POPEYES,Brooklyn,1058,FLUSHING AVENUE,11237,3474047042,CHICKEN,40.70454037937,-73.92915347488,BK77,304,34,false,3,2023-01-11,2025-08-25,6.67,7,A,6,2,false
50043707,DRAGON GARDEN,Queens,86-18,ROCKAWAY BEACH BOULEVARD,11693,7189451808,CHINESE,40.58753156963,-73.81150651331,QN12,414,32,false,3,2024-06-24,2026-04-08,14.33,5,A,11,6,false
50043736,CHOPPED PARSLEY,Manhattan,500,WEST 146 STREET,10031,9176756666,JAPANESE,40.82606615127,-73.94753100597,MN04,109,7,false,2,2022-05-26,2024-02-07,7.0,9,A,4,2,false
50043740,SEA THAI,Brooklyn,114,NORTH 6 STREET,11249,7183848850,THAI,40.7182708831,-73.95994285771,BK73,301,34,false,4,2023-04-04,2026-02-03,25.0,24,B,17,12,false
50043741,MY GRILL BAR,Brooklyn,1022,AVENUE P,11223,7189757272,JEWISH/KOSHER,40.60989712418,-73.96306947325,BK25,315,44,false,2,2024-04-17,2026-03-17,10.0,13,A,4,2,false
50043755,TWO HANDS TRIBECA,Manhattan,251,CHURCH STREET,10013,2019934484,AUSTRALIAN,40.71786053611,-74.00562037462,MN24,101,1,false,6,2022-08-11,2025-07-25,13.0,12,A,15,6,false
50043757,LIN'S ASIAN CUISINE,Bronx,1506,BRONXDALE AVENUE,10462,7188226888,ASIAN/ASIAN FUSION,40.84258814676,-73.85388067639,BX37,211,13,false,3,2024-01-08,2025-11-20,15.67,13,A,12,6,false
50043772,THE HAMILTON,Manhattan,998,AMSTERDAM AVENUE,10025,9176137264,AMERICAN,40.80255557903,-73.96417581741,MN09,107,7,false,3,2022-12-11,2025-11-13,7.33,10,A,6,2,false
50043778,CECI'S,Brooklyn,423,HEGEMAN AVENUE,11207,7188225550,LATIN AMERICAN,40.65821584513,-73.89560457301,BK85,305,42,false,7,2022-12-27,2025-12-02,21.17,12,A,26,11,false
50043792,RUNNING COOL RESTAURANT,Bronx,2263,JEROME AVENUE,10453,7185626648,CARIBBEAN,40.8580801525,-73.90408148739,BX40,205,14,false,4,2024-09-30,2026-06-24,15.5,12,A,12,9,false
50043818,PAPAYA DOG,Manhattan,333,6 AVENUE,10014,2126279748,HOTDOGS,40.7314088356,-74.00117626193,MN23,102,3,false,4,2022-05-11,2025-02-18,13.25,13,A,11,7,false
50043823,SHOGUN HIBACHI & SUSHI BAR,Queens,111-16,QUEENS BOULEVARD,11375,7182634110,JAPANESE,40.71837908333,-73.83714124442,QN17,406,29,false,4,2024-10-09,2026-06-04,36.67,52,B,22,14,false
50043829,SETAGAYA,Brooklyn,280,BEDFORD AVENUE,11249,7182188508,ASIAN/ASIAN FUSION,40.71474149045,-73.96104520131,BK73,301,34,false,3,2023-03-13,2025-10-09,19.0,12,A,10,7,false
50043848,ESTRELLITA POBLANA,Bronx,45,WESTCHESTER SQUARE,10461,7182398290,MEXICAN,40.84203990412,-73.84397899257,BX37,210,18,false,3,2024-05-29,2026-03-02,24.33,40,A,13,9,false
50043852,L'EXPRESS,Manhattan,249,PARK AVENUE SOUTH,10003,2122545858,FRENCH,40.73821520849,-73.98779954163,MN21,105,2,false,5,2022-12-15,2025-10-08,16.2,13,A,15,9,false
50043862,MENCHIES,Bronx,3555,JOHNSON AVENUE,10463,9176690955,FROZEN DESSERTS,40.88618257321,-73.90982011117,BX29,208,11,false,4,2022-06-23,2025-06-09,12.25,9,A,12,7,false
50043868,KASAI,Brooklyn,2524,CONEY ISLAND AVENUE,11223,7182197641,JEWISH/KOSHER,40.59512673429,-73.96098202384,BK25,315,48,false,2,2024-12-12,2026-06-01,6.5,5,A,3,2,false
50043873,YAYA TEA,Brooklyn,2320,86 STREET,11214,7183339292,COFFEE/TEA,40.60029324157,-73.99115221381,BK29,311,43,false,3,2023-06-20,2025-12-15,12.33,9,A,8,5,false
50043895,CREATE,Queens,29-21,DITMARS BOULEVARD,11105,7187770504,AMERICAN,40.77671817771,-73.9115251082,QN72,401,22,false,3,2023-03-28,2025-12-11,10.67,9,A,7,3,false
50043897,GOLDEN RING,Bronx,4342,WHITE PLAINS ROAD,10466,7183245794,CARIBBEAN,40.89673551221,-73.85551551699,BX62,212,11,false,4,2024-09-18,2026-06-02,24.25,19,B,20,11,false
50043911,BREAD & JOE,Brooklyn,618,4 AVENUE,11215,3472234865,COFFEE/TEA,40.66471345292,-73.99360553933,BK37,307,38,false,6,2023-05-11,2026-04-09,14.6,2,A,11,7,false
50043915,DUNKIN,Brooklyn,1058B,FLUSHING AVENUE,11237,3476631130,DONUTS,40.70454037937,-73.92915347488,BK77,304,34,false,4,2023-05-01,2025-08-20,10.0,12,A,8,4,false
50043918,DUNKIN / BASKIN ROBBINS,Manhattan,140,DELANCEY STREET,10002,2127772003,DONUTS,40.71813166032,-73.98692301587,MN28,103,1,false,4,2022-10-17,2025-09-22,7.5,10,A,7,4,false
50043919,CHENS GARDEN,Brooklyn,11046,FLATLANDS AVENUE,11207,7186491711,CHINESE,40.65021328819,-73.89102595282,BK93,318,42,false,2,2024-09-13,2026-03-11,17.5,22,A,5,5,false
50043922,JOE & JOHN'S PIZZERIA,Queens,59-10,MYRTLE AVENUE,11385,7184970078,PIZZA,40.70049427351,-73.89937181028,QN20,405,34,false,3,2024-12-10,2026-07-15,18.33,28,A,10,6,false
50043940,MADAM JI,Manhattan,154,BLEECKER STREET,10012,2128751405,INDIAN,40.72835391689,-73.99957064807,MN23,102,1,false,2,2024-04-23,2026-05-27,28.0,44,A,10,6,false
50043941,CORK & KALE AT EVEN HOTEL,Manhattan,321,WEST 35 STREET,10001,2123560034,AMERICAN,40.75331189333,-73.99405178066,MN13,104,3,false,4,2023-12-20,2026-04-16,22.75,21,B,16,11,false
50043962,ROCKAWAY BEACH GOLF,Queens,219,B 100 STREET,11694,7184744653,AMERICAN,40.58433333411,-73.82143411669,QN10,414,32,false,2,2018-06-23,2019-06-28,22.5,12,A,8,5,false
50043965,KEENANS,Bronx,5588,BROADWAY,10463,9178228160,IRISH,40.87916833285,-73.90459699557,BX29,208,11,false,3,2024-01-12,2026-02-18,23.33,25,B,11,8,false
50043973,NAYA EXPRESS,Manhattan,1,NEW YORK PLAZA,10004,2127608888,MIDDLE EASTERN,40.70253319243,-74.01256177583,MN25,101,1,false,4,2022-12-01,2025-07-01,9.5,5,A,9,2,false
50044006,POLLO CAMPERO,Brooklyn,4518,5 AVENUE,11220,7184362835,CHICKEN,40.64774790035,-74.007574817,BK32,307,38,false,3,2024-06-24,2026-04-20,11.67,2,A,7,3,false
50044008,SUBWAY,Queens,31-18,BROADWAY,11106,9178326207,SANDWICHES,40.7618540434,-73.92516839981,QN70,401,22,false,6,2022-08-10,2025-04-04,8.25,9,A,11,5,false
50044012,THE DITTY,Queens,35-03,DITMARS BOULEVARD,11105,3476171747,AMERICAN,40.77477822847,-73.90877647454,QN72,401,22,false,3,2023-03-15,2026-01-08,17.67,7,A,10,6,false
50044013,WENDY'S,Bronx,3636,BOSTON ROAD,10469,7187984133,HAMBURGERS,40.87965424231,-73.84233539757,BX13,212,12,false,4,2022-11-09,2025-09-16,8.33,13,A,7,1,false
50044017,BLENDZVILLE CAFE,Brooklyn,5,SUTTER AVENUE,11212,3478920163,"JUICE, SMOOTHIES, FRUIT SALADS",40.66526684646,-73.92290536558,BK81,316,41,false,4,2022-10-24,2025-05-16,7.33,7,A,8,1,false
50044020,TEXAS ROTISSERIE,Manhattan,1315,1 AVENUE,10021,2123960700,AMERICAN,40.76689042326,-73.95667163668,MN31,108,5,false,2,2024-07-22,2026-04-23,24.5,45,A,7,3,false
50044041,HYDRA LOUNGE,Queens,88-18,LIBERTY AVENUE,11417,7186297519,AMERICAN,40.67989342907,-73.85039881049,QN56,410,32,false,4,2024-03-28,2025-12-15,23.33,26,B,12,7,false
50044049,DA RAFFAELE,Manhattan,883,1 AVENUE,10022,6468959849,ITALIAN,40.75340596819,-73.96649790562,MN19,106,4,false,2,2024-10-16,2026-08-06,9.5,12,A,4,2,false
50044054,SYNDICATED,Brooklyn,46,BOGART STREET,11206,7183863399,AMERICAN,40.70503138154,-73.93320691933,BK77,301,34,false,3,2022-12-13,2025-09-04,12.0,12,A,6,3,false
50044061,THE VILLAGE GREEN,Queens,14-17,150 STREET,11357,7186000882,AMERICAN,40.78835401402,-73.81361533055,QN49,407,19,false,2,2024-10-01,2026-04-18,6.5,8,A,3,2,false
50044072,AVE P COFFEE SHOP,Brooklyn,401,AVENUE P,11223,3476735506,AMERICAN,40.60885952846,-73.97260326408,BK46,312,44,false,7,2023-02-07,2025-12-12,11.4,13,A,17,5,false
50044089,KAM HING CAFE,Manhattan,118,BAXTER STREET,10013,6465527867,BAKERY PRODUCTS/DESSERTS,40.71790733131,-73.99909453465,MN24,102,1,false,5,2024-04-29,2026-07-28,31.25,53,A,23,16,false
50044118,GALLERIA PIZZA,Queens,95-20,101 AVENUE,11416,7188453973,PIZZA,40.68451678792,-73.84506649736,QN53,409,32,false,3,2024-10-11,2026-05-22,9.0,12,A,6,1,false
50044131,EL SALVADOR RESTAURANT,Brooklyn,1544,MYRTLE AVENUE,11237,7186280606,SPANISH,40.69946971792,-73.91178670267,BK77,304,37,false,4,2023-03-31,2026-01-07,15.0,11,A,13,5,false
50044153,KOSAKA,Manhattan,220,WEST 13 STREET,10011,2127271709,JAPANESE,40.73821036297,-74.00104286667,MN23,102,3,false,2,2023-04-25,2026-01-20,8.0,3,A,4,1,false
50044163,JIMMY'S GRAND CAFE,Bronx,1001,CASTLE HILL AVENUE,10472,7183191200,AMERICAN,40.82769849601,-73.85006521626,BX59,209,18,false,5,2022-12-29,2025-12-12,14.25,11,A,13,6,false
50044182,HINTERLANDS,Brooklyn,739,CHURCH AVENUE,11218,7186330550,AMERICAN,40.64588652056,-73.97203305934,BK40,312,40,false,3,2024-04-15,2026-04-27,15.33,12,A,10,5,false
50044186,LEFKOS PYRGOS,Queens,33-02,DITMARS BOULEVARD,11105,7189324423,BAKERY PRODUCTS/DESSERTS,40.77527835941,-73.90951595025,QN72,401,22,false,4,2023-05-30,2026-03-17,21.25,16,B,15,9,false
50044201,SALUD RESTAURANT,Brooklyn,7204,3 AVENUE,11209,7183335228,TAPAS,40.63338975815,-74.02701053216,BK31,310,43,false,6,2016-03-11,2017-04-04,15.75,12,A,15,8,false
50044208,CAFE ALTRO PARADISO,Manhattan,234,SPRING STREET,10013,6469520828,ITALIAN,40.725559648,-74.0047371038,MN24,102,1,false,3,2023-06-28,2026-04-13,12.33,12,A,8,4,false
50044225,DISTRICT SAIGON,Queens,37-15,BROADWAY,11103,7189560007,SOUTHEAST ASIAN,40.75963031889,-73.92039166293,QN70,401,22,false,4,2024-06-14,2026-03-19,16.0,13,A,14,7,false
50044248,678 DELI,Queens,88-20,VAN WYCK EXPRESSWAY,11418,7188801496,SANDWICHES,40.70212937157,-73.81671013649,QN54,409,29,false,4,2022-06-15,2025-05-16,6.25,11,A,11,6,false
50044252,PARIS BAGUETTE,Manhattan,15,WILLIAM STREET,10005,5517770534,AMERICAN,40.70520136193,-74.00999788735,MN25,101,1,false,6,2024-06-10,2026-07-10,29.5,13,A,20,12,false
50044253,RUFFIAN WINE BAR,Manhattan,125,EAST 7 STREET,10009,2127770855,CONTINENTAL,40.72637935772,-73.98430927729,MN22,103,2,false,4,2022-07-26,2025-03-04,9.33,13,A,7,3,false
